Occupation Code,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,90
13-1041,0.0,0.6,1.1,0.9,4.8,2.2,0.5,1.6,1.8,12.0,1.0,9.7,5.6,3.8,3.3,7.0,0.2,0.2,1.8,41.2
13-1051,0.0,0.2,0.6,58.8,12.2,3.8,4.4,0.7,0.3,0.3,0.2,4.4,1.5,3.4,0.2,0.1,0.0,0.0,7.3,0.3
13-1071,0.0,0.4,0.4,1.6,7.8,3.0,2.7,2.3,2.7,5.7,0.9,12.8,7.3,19.5,5.5,10.3,0.7,1.2,2.0,11.7
13-1081,0.0,0.6,1.3,0.7,24.1,9.2,2.1,8.1,2.3,0.5,0.5,16.3,10.4,2.9,0.5,1.1,0.1,0.0,0.4,18.5
13-1111,0.0,0.2,0.8,0.3,2.6,1.6,0.3,0.6,2.6,11.4,0.4,30.2,5.1,3.6,2.5,2.3,0.1,0.1,1.3,16.2
13-1121,0.0,0.0,0.0,0.1,1.9,1.2,1.2,0.2,3.2,2.1,1.6,7.9,2.6,10.1,9.6,2.7,10.5,11.1,22.1,3.3
13-1141,0.0,0.3,0.6,0.8,4.3,1.7,0.9,0.9,3.8,17.9,0.4,14.6,12.8,6.1,7.2,7.3,0.4,0.3,3.5,16.2
13-1161,0.0,0.1,0.4,1.4,6.7,8.0,3.2,0.8,9.0,9.7,2.9,28.1,7.9,4.1,2.8,4.4,1.7,1.1,3.5,1.1
13-2031,0.0,0.5,0.9,0.9,7.1,1.7,0.3,1.2,2.8,4.0,0.3,11.4,5.2,2.4,13.1,4.0,0.3,0.1,2.4,41.4
13-2051,0.0,0.7,0.7,0.4,6.0,1.6,0.4,0.8,3.4,42.4,2.3,13.4,11.8,2.8,2.4,2.8,0.2,0.1,1.1,3.2
13-2099,0.0,0.3,0.4,0.3,2.3,1.3,0.8,0.4,2.0,29.0,0.0,7.1,7.4,1.7,8.3,4.3,0.2,0.1,4.1,23.2
15-1111,0.0,0.2,0.2,0.0,3.5,3.2,0.2,0.0,9.7,0.8,0.0,43.3,1.2,0.0,7.7,0.4,0.0,0.0,0.0,27.9
15-1121,0.0,0.6,0.9,0.2,5.1,2.6,0.4,0.6,6.7,13.2,0.3,36.5,8.8,4.1,4.5,5.0,0.1,0.0,0.6,6.3
15-1122,0.0,0.3,1.3,0.3,4.5,2.4,0.2,0.4,7.8,18.3,0.2,39.3,9.5,5.9,3.6,2.7,0.1,0.1,0.5,2.5
15-1131,0.0,0.2,0.4,0.6,5.3,3.5,0.9,0.6,11.7,7.2,0.2,45.2,4.0,3.9,4.7,1.4,0.2,0.0,0.6,4.5
15-1132,0.0,0.1,0.2,0.1,7.1,3.1,0.0,0.3,19.7,10.2,0.2,41.8,5.0,3.7,2.2,1.3,0.1,0.0,0.4,2.1
